OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
3141272,04092015068,Subway #40338,6209-128 Rock Quarry  RD ,,RALEIGH,NC,27610,(919) 773-4101,2008/02/20 05:00:00+00,Restaurant,10229,-78.54900696,35.72380299,M
3141273,04092015074,Pho2 Far East,4011-133 Capital  BLVD ,,RALEIGH,NC,27604,(919) 876-8621,2008/02/22 05:00:00+00,Restaurant,10235,-78.58250245,35.8353751,M
3141274,04092015076,Yoho Asian Bistro,8204-106 Tryon Woods DR ,,CARY,NC,27511,(919) 859-8081,2008/02/25 05:00:00+00,Restaurant,10244,-78.74169613,35.74700826,M
3141275,04092015094,Trali Irish Pub,10370 Moncreiffe ,Ste 109,RALEIGH,NC,27617,(919) 544-4141,2008/03/13 04:00:00+00,Restaurant,10262,-78.79238416,35.89997124,M
3141276,04092021523,New Super Grocery & Fresh Halal Meat,748 E Chatham ST ,Unit G,CARY,NC,27511,(919) 463-0450,2008/04/14 04:00:00+00,Food Stand,10331,-78.76514155,35.79157241,M
3141277,04092015099,Subway #41217,8410-140 Louisburg RD ,,RALEIGH,NC,27616,(919) 266-0300,2008/03/25 04:00:00+00,Restaurant,10290,-78.51125194,35.89400635,M
3141278,04092015089,BRUEGGERS BAGELS #143,7550-106 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 848-4902,2008/03/28 04:00:00+00,Restaurant,10297,-78.67969753,35.88944343,M
3141279,04092030180,A TASTE OF NEW YORK #3 ( WCID #366),201 S West ST ,,RALEIGH,NC,27603,(919) 345-8138,2007/10/19 04:00:00+00,Mobile Food Units,10353,-78.64560424,35.77781639,M
3141280,04092015131,The Pit,328 W Davie ST ,,RALEIGH,NC,27601,(919) 890-4500,2008/05/14 04:00:00+00,Restaurant,10398,-78.64472372,35.77605684,M
3141281,04092015114,Subway #3262,1813 N Harrison AVE ,,CARY,NC,27513,(919) 678-1191,2008/04/23 04:00:00+00,Restaurant,10335,-78.76837941,35.82980559,M
3141282,04092015133,Cobblestone @ Koka Booth Amphitheatre,8003 Regency PKY ,,CARY,NC,27513,(919) 610-9904,2008/05/21 04:00:00+00,Restaurant,10400,-78.79540806,35.72902722,M
3141283,04092015135,CHARLIE'S KABOB GRILL,12235 CAPITAL BLVD ,,WAKE FOREST,NC,27587,(919) 554-0938,2008/05/27 04:00:00+00,Restaurant,10402,-78.54097555,35.98087356,M
3141284,04092015115,Super Wok,1401-L SE Maynard RD ,,CARY,NC,27511,(919) 388-8338,2008/04/23 04:00:00+00,Restaurant,10336,-78.76381917,35.78923034,M
3141285,04092015124,"Ruckus Pizza, Pasta & Spirits",8111-208 Tryon Woods  DR ,,CARY,NC,27518,(919) 851-3999,2008/05/02 04:00:00+00,Restaurant,10366,-78.74266974,35.7468093,M
3141286,04092110470,Mills Park Elementary Cafeteria,509 Mills Park DR ,,CARY,NC,27519,(919) 466-1466 ext. 20772,2008/06/09 04:00:00+00,Public School Lunchrooms,10434,-78.89608158,35.81195651,M
3141287,04092015129,Caribbean Cafe,2645-D E Millbrook RD ,,RALEIGH,NC,27604,(919) 872-4858,2008/05/01 04:00:00+00,Restaurant,10405,-78.5905395,35.84846974,M
3141288,04092015148,Sake House Japanese Restaurant,1141 Falls River AVE ,Ste 128,RALEIGH,NC,27614,(919) 676-5788,2008/06/18 04:00:00+00,Restaurant,10442,-78.58877443,35.90718863,M
3141289,04092015151,Namolis NY Pizzeria,5444 Apex Peakway ,,APEX,NC,27502,(919) 303-4888,2008/06/23 04:00:00+00,Restaurant,10445,-78.86537597,35.73683859,M
3141290,04092015153,Starbucks,1380 N Main ST ,,FUQUAY VARINA,NC,27526,(919) 557-0533,2008/06/24 04:00:00+00,Restaurant,10447,-78.77523409,35.59178475,M
3141291,04092015160,Peace China,802 Semart  DR ,Ste 106,RALEIGH,NC,27604,(919) 833-8668,2008/06/11 04:00:00+00,Restaurant,10454,-78.63966151,35.79054244,M
3141292,04092021531,Domino's #8820,6213-102 Rock Quarry  RD ,,RALEIGH,NC,27610,(919) 779-4443,2008/06/12 04:00:00+00,Food Stand,10437,-78.54886724,35.7226095,M
3141293,04092021532,The Fresh Market Deli,6325 Falls of Neuse  RD ,,RALEIGH,NC,27615,(919) 872-8501,2008/04/25 04:00:00+00,Food Stand,10456,-78.62251606,35.86922851,M
3141294,04092021533,The Fresh Market Produce,6325 Falls of Neuse RD ,,RALEIGH,NC,27615,(919) 872-8501,2008/04/25 04:00:00+00,Food Stand,10457,-78.62251606,35.86922851,M
3141295,04092021534,The Fresh Market Meat/Seafood,6325 Falls of Neuse RD ,,RALEIGH,NC,27615,(919) 872-8501,2008/04/25 04:00:00+00,Food Stand,10458,-78.62251606,35.86922851,M
3141296,04092030195,Specialty South DBA Wicked Links (WCID #225),4831 Grove Barton RD / Lowes,,RALEIGH,NC,27613,(919) 855-8548,2008/06/10 04:00:00+00,Mobile Food Units,10468,-78.71866323,35.869194,M
3141297,04092021530,Papa John's,1516 Broad ST ,,FUQUAY VARINA,NC,27526,(919) 577-6565,2008/05/15 04:00:00+00,Food Stand,10439,-78.80360299,35.60359983,T
3141298,04092110471,Laurel Park Lunch Room,2450 Laura Duncan  RD ,,APEX,NC,27523,(919) 290-2333 ext. 21279,2008/07/03 04:00:00+00,Public School Lunchrooms,10477,-78.82634024,35.75915424,M
3141299,04092021542,WALMART #1372 DELI,4500 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 772-8751,2008/07/14 04:00:00+00,Food Stand,10507,-78.6585824,35.71894128,M
3141300,04092025144,DOMINOS #8824,6110 ROGERS RD ,,ROLESVILLE,NC,27571,(919) 453-2324,2008/07/14 04:00:00+00,Food Stand,10509,-78.46776638,35.92242305,M
3141301,04092015179,HOLIDAY INN EXPRESS,1006 MARCO DR ,,APEX,NC,27502,(919) 387-3636,2008/07/22 04:00:00+00,Restaurant,10537,-78.84034017,35.7170455,M
3141302,04092015181,JUMBO CHINA,3111 LELAND DR ,STE 100,RALEIGH,NC,27616,(919) 266-2388,2008/07/24 04:00:00+00,Restaurant,10538,-78.50930992,35.89359383,M
3141303,04092015187,Great China,7851 ALEXANDER PROMENADE ,PL #100,RALEIGH,NC,27617,(919) 975-2211,2008/07/29 04:00:00+00,Restaurant,10543,-78.78023964,35.91267591,M
3141304,04092015191,TASTE OF CHINA,6209 ROCK QUARRY RD ,STE 126,RALEIGH,NC,27610,(919) 773-2285,2008/08/04 04:00:00+00,Restaurant,10549,-78.54796019,35.72312495,M
3141305,04092110472,SYCAMORE CREEK CAFETERIA,10921 LEESVILLE RD ,,RALEIGH,NC,27613,(919) 841-4333 ext. 25475,2008/07/23 04:00:00+00,Public School Lunchrooms,10558,-78.73295461,35.91837163,M
3141306,04092110473,BANKS ROAD ELEMENTARY CAFETERIA,10225 CHAMBERS RD ,,RALEIGH,NC,27603,(919) 856-2918,2008/07/31 04:00:00+00,Public School Lunchrooms,10560,-78.70915828,35.63117163,M
3141307,04092015197,Panda Garden,5249 Sunset Lake RD ,,HOLLY SPRINGS,NC,27540,(919) 360-5000,2008/08/12 04:00:00+00,Restaurant,10579,-78.79652372,35.66680054,M
3141308,04092015200,NEW YORK DINER,909-1 MCKNIGHT DR ,,KNIGHTDALE,NC,27545,(919) 217-0838,2008/08/20 04:00:00+00,Restaurant,10581,-78.49218524,35.79586021,M
3141309,04092015201,Tony's Pizza,8111 ROWLOCK  WAY ,SUITE C-1,RALEIGH,NC,27613,(919) 571-3588,2008/08/21 04:00:00+00,Restaurant,10582,-78.73779144,35.88567273,M
3141310,04092110474,MARTIN MIDDLE SCHOOL CAFETERIA,1701  RIDGE RD ,,RALEIGH,NC,27607,(919) 881-4970 ext. 27404,2008/08/20 04:00:00+00,Public School Lunchrooms,10590,-78.68698752,35.81248956,M
3141311,04092015209,THE BRICKHOUSE,3801 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 829-3666,2008/09/18 04:00:00+00,Restaurant,10607,-78.68856288,35.79387274,M
3141312,04092015211,TGI Friday's #2175,1100 TIMBER  DR E ,,GARNER,NC,27529,(919) 779-1935,2008/09/02 04:00:00+00,Restaurant,10611,-78.57860974,35.68884489,M
3141313,04092015210,Moe's Southwest Grill #205,168 SHENSTONE BLVD ,,GARNER,NC,27529,(919) 779-0311,2008/07/21 04:00:00+00,Restaurant,10614,-78.58054205,35.69110315,M
3141314,04092015215,RALEIGH CONVENTION CENTER,500 S SALISBURY  ST ,,RALEIGH,NC,27601,(919) 996-8675,2008/09/02 04:00:00+00,Restaurant,10616,-78.64125822,35.77365136,M
3141315,04092021549,HARRIS TEETER #257 MEAT/SEAFOOD,2080 KILDAIRE FARM RD ,,CARY,NC,27511,(919) 233-9483,2008/09/19 04:00:00+00,Food Stand,10621,-78.78068669,35.73567522,M
3141316,04092015222,ANNA'S PIZZERIA,100 N SALEM ST ,,APEX,NC,27502,(919) 267-6237,2008/09/15 04:00:00+00,Restaurant,10625,-78.85126459,35.73076866,M
3141317,04092015231,Brueggers Bagel #3771,4212 NW CARY PKY ,,CARY,NC,27513,(919) 463-5563,2008/09/30 04:00:00+00,Restaurant,10638,-78.82705749,35.79085045,M
3141318,04092015232,BUFFALO WILD WINGS #206,6700 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 217-2559,2008/09/25 04:00:00+00,Restaurant,10639,-78.50464192,35.79645,M
3141319,04092015233,QDOBA MEXICAN GRILL #203,3101-102 EDWARDS MILL  RD ,,RALEIGH,NC,27612,(919) 781-9220,2008/09/24 04:00:00+00,Restaurant,10643,-78.70695216,35.82399087,M
3141320,04092015237,QDOBA MEXICAN GRILL #215,1005 BEAVER CREEK COMMONS ,,APEX,NC,27502,(919) 362-8737,2008/09/24 04:00:00+00,Restaurant,10650,-78.87238435,35.74509286,M
3141321,04092015239,Sunny's Diner,8710-104 GLENWOOD AVE ,,RALEIGH,NC,27617,(919) 787-7715,2008/09/25 04:00:00+00,Restaurant,10652,-78.74503936,35.88736454,M
3141322,04092015242,TRIANGLE MINI MART,10420 CHAPEL HILL  RD ,,MORRISVILLE,NC,27560,(919) 469-1720,2008/10/01 04:00:00+00,Restaurant,10655,-78.83092481,35.83981394,M
3141323,04092015246,Gumby's Pizza & Wings,2712 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 836-1555,2008/10/03 04:00:00+00,Restaurant,10667,-78.67170371,35.78888468,M
3141324,04092015261,TROPICAL SMOOTHIE CAFE,1028 OBERLIN RD ,STE 232,RALEIGH,NC,27605,(919) 755-2222,2008/10/13 04:00:00+00,Restaurant,10685,-78.65845011,35.79783502,M
3141325,04092015263,FLEMING'S PRIME STEAKHOUSE & WINE BAR #4402,4325 GLENWOOD AVE ,STE 5004,RALEIGH,NC,27612,(919) 571-6200,2008/10/15 04:00:00+00,Restaurant,10687,-78.68184484,35.84183815,T
3141326,04092160065,BROOKDALE CARY FOOD SERVICE,7870 CHAPEL HILL RD ,,CARY,NC,27573,(919) 852-1355,2008/09/19 04:00:00+00,Institutional Food Service,10691,-78.76164216,35.79641259,M
3141327,04092015266,THE FACTORY ICE HOUSE SNACK BAR,1839-200 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 453-1500,2008/10/22 04:00:00+00,Restaurant,10690,-78.52816059,35.95204501,M
3141328,04092015271,42ND STREET OYSTER BAR,2400 W TERMINAL BLVD ,RDU terminal 2 Gate C1,MORRISVILLE,NC,27560-9217,(919) 840-0506,2008/10/23 04:00:00+00,Restaurant,10698,0,0,U
3141329,04092015276,SALEM STREET PUB,113 N SALEM ST ,,APEX,NC,27502,(919) 387-9992,2008/10/31 04:00:00+00,Restaurant,10704,-78.85154922,35.73118477,T
3141330,04092015280,SITTI BY NEOMONDE,137 S WILMINGTON  ST ,,RALEIGH,NC,27601,(919) 239-4070,2008/11/05 05:00:00+00,Restaurant,10708,-78.63795047,35.77838014,M
3141331,04092015281,Zaxby's,8812 HARVEST OAKS  DR ,,RALEIGH,NC,27615,(919) 847-8151,2008/11/07 05:00:00+00,Restaurant,10709,-78.65754379,35.90324644,M
3141332,04092021553,COOKOUT #55,1433 N MAIN ST ,,FUQUAY VARINA,NC,27526,(919) 577-8088,2008/11/04 05:00:00+00,Food Stand,10727,-78.77099025,35.59394754,M
3141333,04092021556,Papa John's #2838,7134 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 266-3330,2008/11/19 05:00:00+00,Food Stand,10733,-78.48874912,35.79711938,M
3141334,04092015283,CAMBRIA SUITES BARISTA BAR,300 AIRGATE DR ,,MORRISVILLE,NC,27560,(919) 361-3311,2008/11/05 05:00:00+00,Restaurant,10734,-78.81485297,35.86546822,M
3141335,04092015287,SHEETZ #416,1406 N ARENDELL AVE ,,ZEBULON,NC,27597,(919) 404-2347,2008/11/14 05:00:00+00,Restaurant,10738,-78.32477095,35.83963158,M
3141336,04092110475,POE ELEMENTARY CAFETERIA,400 PEYTON ST ,,RALEIGH,NC,27610,(919) 250-4777 ext. 24346,2008/11/21 05:00:00+00,Public School Lunchrooms,10744,-78.605038,35.77326136,M
3141337,04092110476,RIVER BEND ELEMENTARY CAFETERIA,6710 PERRY CREEK RD ,,RALEIGH,NC,27616,(919) 431-8010 ext. 25509,2008/12/03 05:00:00+00,Public School Lunchrooms,10760,-78.53592651,35.86465714,M
3141338,04092015299,SPRING KITCHEN,10110 GREEN LEVEL CHURCH RD ,,CARY,NC,27519,(919) 462-1388,2008/12/05 05:00:00+00,Restaurant,10762,-78.90107787,35.82060358,M
3141339,04092015308,HILTON GARDEN INN RESTAURANT,6412 CAPITAL  BLVD ,,RALEIGH,NC,27616,(919) 876-5650,2008/12/19 05:00:00+00,Restaurant,10776,-78.57788965,35.87240322,M
3141340,04092015315,THE FLYING BISCUIT CAFE,2016 CLARK AVE ,,RALEIGH,NC,27605,(919) 833-6924,2009/01/05 05:00:00+00,Restaurant,10793,-78.66025735,35.7899673,M
3141341,04092015316,TASU,8919 BRIER CREEK PKY ,,RALEIGH,NC,27617,(919) 544-8474,2009/01/05 05:00:00+00,Restaurant,10794,-78.79210079,35.89996272,M
3141342,04092015320,LA COCINA #6,1221 TIMBER DR E ,,GARNER,NC,27529,(919) 772-6999,2009/01/09 05:00:00+00,Restaurant,10799,-78.57544772,35.68894454,M
3141343,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009/01/12 05:00:00+00,Restaurant,10800,-78.64931864,35.78886208,M
3141344,04092015322,SUBWAY #12786,3940 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 828-6518,2009/01/13 05:00:00+00,Restaurant,10814,-78.69349102,35.78458356,M
3141345,04092015319,Wang's Bistro,877-405 E GANNON AVE ,,ZEBULON,NC,27597,(919) 269-9788,2009/01/06 05:00:00+00,Restaurant,10798,-78.3335351,35.8212246,T
3141346,04092015328,KOBE HIBACHI & SUSHI,515 N MAIN ST ,,HOLLY SPRINGS,NC,27540,(919) 557-1437,2009/01/29 05:00:00+00,Restaurant,10823,-78.83687096,35.65966057,M
3141347,04092160067,FALLS RIVER VILLAGE (FOOD SERVICE),1110  FALLS RIVER AVE ,,RALEIGH,NC,27614,(919) 844-9747,2009/01/29 05:00:00+00,Institutional Food Service,10843,-78.58734511,35.90599811,M
3141348,04092160068,FALLS RIVER COURT (FOOD SERVICE),1130 FALLS RIVER  AVE ,,RALEIGH,NC,27614,(919) 844-2499,2009/01/29 05:00:00+00,Institutional Food Service,10844,-78.58705624,35.90683193,M
3141349,04092015336,LOS TRES MAGUEYES,401 WAKE CHAPEL RD ,,FUQUAY VARINA,NC,27526,(919) 552-3957,2009/02/06 05:00:00+00,Restaurant,10850,-78.80006934,35.5907222,M
3141350,04092160069,ZEBULON HOUSE (KITCHEN),551 PONY RD ,,ZEBULON,NC,27597,(919) 269-6061,2009/02/18 05:00:00+00,Institutional Food Service,10856,-78.33214269,35.8167762,M
3141351,04092021562,LOWES FOODS #239 PRODUCE,932 GATEWAY COMMONS  CIR ,,WAKE FOREST,NC,27587,(919) 554-0537,2009/03/03 05:00:00+00,Food Stand,10866,-78.4951784,35.96732914,M
3141352,04092110477,CHARLES BUGG CAFETERIA,825 COOPER ST ,,RALEIGH,NC,27610,,2009/02/26 05:00:00+00,Public School Lunchrooms,10864,-78.5865725,35.76647416,M
3141353,04092021564,LOWES FOODS #239 DELI,932 GATEWAY COMMONS CIR ,,WAKE FOREST,NC,27587,(919) 554-0537,2009/03/03 05:00:00+00,Food Stand,10868,-78.4951784,35.96732914,M
3141354,04092015349,GENKI RESTAURANT & SUSHI BAR,3420 TEN TEN RD ,Suit 314,CARY,NC,27518,(919) 363-6636,2009/03/04 05:00:00+00,Restaurant,10877,-78.79278417,35.70189107,M
3141355,04092015352,HOLIDAY INN EXPRESS Foodservice,1014 AIRPORT  BLVD ,,MORRISVILLE,NC,27560,(919) 653-2260,2009/03/06 05:00:00+00,Restaurant,10889,-78.81827441,35.85781565,M
3141356,04092015353,HIBACHI JAPAN #2,4001 WAKE FOREST  RD ,,RALEIGH,NC,27609,(919) 878-8880,2009/03/09 04:00:00+00,Restaurant,10890,-78.61511172,35.8362139,M
3141357,04092015356,CHUBBY'S TACOS,2444 Wycliff RD ,,RALEIGH,NC,27607,(919) 781-4480,2009/03/13 04:00:00+00,Restaurant,10894,-78.692995,35.81676997,M
3141358,04092015361,MELLOW MUSHROOM,2125 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 556-8884,2009/03/24 04:00:00+00,Restaurant,10907,-78.53549582,35.9471019,M
3141359,04092015367,La Terraza,2217 AVENT FERRY RD ,,RALEIGH,NC,27606,(919) 832-0293,2009/04/03 04:00:00+00,Restaurant,10914,-78.67605091,35.77835817,M
3141360,04092015369,BACKYARD BISTRO,1235 HURRICANE ALLEY WAY ,,RALEIGH,NC,27607,(919) 851-6203,2009/04/09 04:00:00+00,Restaurant,10916,-78.72554709,35.79896666,M
3141361,04092110478,EAST WAKE HIGH SCHOOL,5101 ROLESVILLE RD ,,WENDELL,NC,27591,(919) 365-2625 ext. 24192,2009/04/02 04:00:00+00,Public School Lunchrooms,10917,-78.42429735,35.81293185,M
3141362,04092015379,LA MEXICANITA #2,225 N ARENDELL AVE ,,ZEBULON,NC,27597-2603,(919) 269-2236,2009/03/03 05:00:00+00,Restaurant,10923,-78.31406114,35.82273008,M
3141363,04092015380,CROSSROADS STADIUM 20 UNIT #1874,501 CAITBOO AVE ,,CARY,NC,27518,(919) 816-0220,2009/04/13 04:00:00+00,Restaurant,10924,-78.73520323,35.75834188,M
3141364,04092015371,SPIRITS PUB & GRUB,701 E CHATHAM ST ,,CARY,NC,27511,(919) 462-7001,2009/04/07 04:00:00+00,Restaurant,10925,-78.76531398,35.79216315,M
3141365,04092015374,Shane's Rib Shack #55,5811 POYNER VILLAGE PKY ,SUITE 101,RALEIGH,NC,27616,(919) 850-9900,2009/04/15 04:00:00+00,Restaurant,10928,-78.56916648,35.86464286,M
3141366,04092015381,BEAVER CREEK CINEMAS 12,1441 Beaver Creek Commons DR,,APEX,NC,27502,(919) 362-7342,2009/04/13 04:00:00+00,Restaurant,10934,-78.88256304,35.74574207,M
3141367,04092015383,WHITE OAK STADIUM 14,1205 Timber DR E,,GARNER,NC,27529,(919) 779-7499,2009/04/17 04:00:00+00,Restaurant,10936,-78.57456476,35.68908515,M
3141368,04092015378,Snoopy's Hot Dogs And More,2431-161 SPRING FOREST RD ,,RALEIGH,NC,27615,(919) 876-3775,2009/04/17 04:00:00+00,Restaurant,10932,-78.59906382,35.86071298,M
3141369,04092160070,SUNRISE OF CARY FOODSERVICE,1206 W CHATHAM ST ,,CARY,NC,27513,(919) 462-9147,2009/04/16 04:00:00+00,Institutional Food Service,10942,-78.80900162,35.77159353,M
3141370,04092110479,LAKE MYRA ELEMENTARY CAFETERIA,1300 ELK FALLS  DR ,,WENDELL,NC,27591,(919) 365-8990 ext. 25404,2009/04/24 04:00:00+00,Public School Lunchrooms,10944,-78.42971564,35.76143338,M
3141371,04092021567,HARRIS TEETER #367 DELI,14520 JOHN REX BLVD ,,RALEIGH,NC,27614,(919) 554-4167,2009/05/15 04:00:00+00,Food Stand,10961,-78.54281974,35.94700335,M
3141372,04092021568,HARRIS TEETER #367 PRODUCE,14520 JOHN REX BLVD ,,RALEIGH,NC,27614,(919) 554-4167,2009/05/15 04:00:00+00,Food Stand,10962,-78.54281974,35.94700335,M
3141373,04092021569,HARRIS TEETER #367 MEAT/SEAFOOD,14520 JOHN REX  BLVD ,,RALEIGH,NC,27614,(919) 554-4167,2009/05/15 04:00:00+00,Food Stand,10963,-78.54281974,35.94700335,M
3141374,04092021574,WALMART SUPERCENTER #4250 DELI,1001 SHILOH GLENN  DR ,,MORRISVILLE,NC,27560,(919) 474-2285,2009/06/16 04:00:00+00,Food Stand,11005,-78.84693338,35.86659083,M
3141375,04092110481,HERBERT AKINS ELEMENTARY LUNCHROOM,2255 HERBERT AKINS RD ,,FUQUAY VARINA,NC,27526,(919) 567-4120,2009/06/09 04:00:00+00,Public School Lunchrooms,11007,-78.80360393,35.6211291,M
3141376,04092110480,WENDELL MIDDLE SCHOOL CAFETERIA,3407 NC HWY 97 ,,WENDELL,NC,27591,(919) 365-1667 ext. 25316,2009/05/05 04:00:00+00,Public School Lunchrooms,10965,-78.39527388,35.80534128,M
3141377,04092015415,GRAVY,135 S WILMINGTON ST ,,RALEIGH,NC,27601,(919) 896-8513,2009/06/08 04:00:00+00,Restaurant,11011,-78.63798592,35.77854302,M
3141378,04092015421,QUALITY INN FOOD SERVICE,511 N JUDD PKY NE ,,FUQUAY VARINA,NC,27526,(919) 557-2009,2009/06/16 04:00:00+00,Restaurant,11017,-78.78040573,35.59061253,M
3141379,04092015422,SHUCKERS OYSTER BAR & GRILL,3309 ROGERS RD ,STE 245,WAKE FOREST,NC,27587,(919) 602-8011,2009/06/02 04:00:00+00,Restaurant,11018,-78.51539227,35.95073353,M
3141380,04092015436,KFC/Taco Bell #118,7108  GB Alford HWY ,,HOLLY SPRINGS,NC,27540,(919) 557-3801,2009/07/17 04:00:00+00,Restaurant,11050,-78.83081066,35.63579705,M
3141381,04092021575,THE CRESCENT,8003 REGENCY PKY ,,CARY,NC,27518,(919) 450-8310,2009/07/15 04:00:00+00,Food Stand,11051,-78.79540806,35.72902722,M
3141382,04092015443,MoonRunners Saloon,1506 US 70 HWY W ,,GARNER,NC,27529,(919) 662-5119,2009/08/12 04:00:00+00,Restaurant,11063,-78.64623771,35.72377782,M
3141383,04092110482,EAST MILLBROOK MIDDLE SCHOOL CAFETERIA,3801 SPRING FOREST RD ,,RALEIGH,NC,27616,(919) 850-8755 ext. 27354,2009/08/14 04:00:00+00,Public School Lunchrooms,11078,-78.57481627,35.85784609,M
3141384,04092110483,Smith Magnet Elementary School Cafeteria,1101 MAXWELL DR ,,RALEIGH,NC,27603,(919) 662-2465,2009/08/14 04:00:00+00,Public School Lunchrooms,11079,-78.65338986,35.71157283,M
3141385,04092110484,HERITAGE HIGH SCHOOL CAFETERIA,1150 FORESTVILLE RD ,,WAKE FOREST,NC,27587,(919) 570-5600 ext. 20633,2009/08/17 04:00:00+00,Public School Lunchrooms,11080,-78.51100216,35.94014388,M
3141386,04092015459,C & T WOK CHINESE AND THAI CUISINE,130 MORRISVILLE SQUARE WAY ,,MORRISVILLE,NC,27560,(919) 467-8860,2009/09/10 04:00:00+00,Restaurant,11109,-78.82897679,35.81951783,M
3141387,04092015460,NEW CHINA KING RESTAURANT,1811 NEW HOPE CHURCH RD,,RALEIGH,NC,27609-6288,(919) 873-1256,2009/09/15 04:00:00+00,Restaurant,11111,-78.60815381,35.83604187,M
3141388,04092015530,SUBWAY #3726,12233 CAPITAL BLVD ,,WAKE FOREST,NC,27587-6200,(919) 556-8622,2009/12/11 05:00:00+00,Restaurant,11136,-78.54097555,35.98087356,M
3141389,04092015532,CRAZY FIRE MONGOLIAN GRILL,3611 SPRING FOREST RD ,STE. 100,RALEIGH,NC,27616,(919) 872-3575,2009/12/16 05:00:00+00,Restaurant,11138,-78.57981091,35.85591049,M
3141390,04092015546,HAYASHI JAPANESE RESTAURANT,13200 NEW FALLS OF NUESE RD ,STE 105,RALEIGH,NC,27614,(919) 554-0508,2010/01/05 05:00:00+00,Restaurant,11143,-78.55981965,35.9407555,M
3141391,04092015569,SHANGHAI EXPRESS,2502 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 754-9797,2010/02/12 05:00:00+00,Restaurant,11149,-78.66818044,35.78802697,M
3141392,04092015580,China Pearl Chinese Restaurant,2841 Jones Franklin RD ,,RALEIGH,NC,27606,(919) 851-0358,2010/03/17 04:00:00+00,Restaurant,11154,-78.73773412,35.74361197,M
3141393,04092015586,Wells Fargo Cafe,1100 Corporate Center DR ,,RALEIGH,NC,27607-5066,(919) 852-7720,2010/03/29 04:00:00+00,Restaurant,11157,-78.73483567,35.80060497,M
3141394,04092015603,WAFFLE HOUSE #1090,1006 AIRPORT BLVD ,,MORRISVILLE,NC,27560-9195,(919) 460-0388,2010/04/19 04:00:00+00,Restaurant,11161,-78.81924125,35.85853428,M
3141395,04092015605,WAFFLE HOUSE #1279,7605 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 217-4112,2010/04/23 04:00:00+00,Restaurant,11163,-78.47367546,35.80004488,M
3141396,04092015606,WAFFLE HOUSE #1161,3703 NEW BERN AVE ,,RALEIGH,NC,27610,(919) 231-1292,2010/04/23 04:00:00+00,Restaurant,11164,-78.57689663,35.79823602,M
3141397,04092015610,WAFFLE HOUSE #1302,1417 E WILLIAMS ST ,,APEX,NC,27539-7700,(919) 363-9137,2010/04/28 04:00:00+00,Restaurant,11166,-78.83789587,35.71142555,M
3141398,04092015611,WAFFLE HOUSE #351,1724 WALNUT ST ,,CARY,NC,27511,(919) 467-5950,2010/04/28 04:00:00+00,Restaurant,11167,-78.7467946,35.76260482,M
3141399,04092015648,JAMAICAN GRILLE,5500 Atlantic Springs  RD ,STE 109,RALEIGH,NC,27616,(919) 873-0200,2010/06/18 04:00:00+00,Restaurant,11179,-78.59668856,35.85752531,M
3141400,04092015656,ON THE BORDER,1102 WALNUT ST ,,CARY,NC,27511-4735,(919) 439-5030,2010/06/30 04:00:00+00,Restaurant,11181,-78.76331531,35.77087785,M
3141401,04092015690,PANDA WOK,8521  CANTILEVER WAY ,Ste 105,RALEIGH,NC,27613,(919) 792-2588,2010/08/12 04:00:00+00,Restaurant,11189,-78.73779144,35.88567273,M
3141402,04092015704,#1 CHINA WOK,942 GATEWAY COMMONS CIR ,,WAKE FOREST,NC,27587,(919) 570-1688,2010/08/30 04:00:00+00,Restaurant,11192,-78.4951784,35.96732914,M
3141403,04092015676,ROADRUNNERS PIZZA,8420-120 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 266-7606,2010/07/23 04:00:00+00,Restaurant,11187,-78.51092096,35.89413592,M
3141404,04092015718,NEW WHITE OAK GRILL & LOUNGE,7901 WHITE OAK  RD ,,GARNER,NC,27529,(919) 779-0710,2010/09/30 04:00:00+00,Restaurant,11198,-78.5750606,35.67217041,M
3141405,04092110485,LACY ELEMENTARY CAFETERIA,2001 LAKE BOONE  TRL ,,RALEIGH,NC,27607,(919) 881-4920 ext. 23387,2009/08/14 04:00:00+00,Public School Lunchrooms,11208,-78.68073671,35.81422342,M
3141406,04092015453,HIBACHI GRILL & SUPREME BUFFET,3131 CAPITAL BLVD ,,RALEIGH,NC,27604,(919) 878-5888,2009/08/20 04:00:00+00,Restaurant,11212,-78.59044451,35.82314532,M
